film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
124,"CASPER DRAGONFLY","A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert",2006,1,NULL,3,4.99,163,16.99,PG-13,Trailers,"2006-02-15 05:03:42"
132,"CHAINSAW UPTOWN","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,NULL,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
138,"CHARIOTS CONSPIRACY","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",2006,1,NULL,5,2.99,71,29.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
153,"CITIZEN SHREK","A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback",2006,1,NULL,7,0.99,165,18.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
158,"CLONES PINOCCHIO","A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans",2006,1,NULL,6,2.99,124,16.99,R,"Behind the Scenes","2006-02-15 05:03:42"
182,"CONTROL ANTHEM","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery",2006,1,NULL,7,4.99,185,9.99,G,Commentaries,"2006-02-15 05:03:42"
192,"CROSSING DIVORCE","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",2006,1,NULL,4,4.99,50,19.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
204,"DALMATIONS SWEDEN","A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse",2006,1,NULL,4,0.99,106,25.99,PG,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
208,"DARES PLUTO","A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans",2006,1,NULL,7,2.99,89,16.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
231,"DINOSAUR SECRETARY","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies",2006,1,NULL,7,2.99,63,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
311,"FICTION CHRISTMAS","A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft",2006,1,NULL,4,0.99,72,14.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
322,"FLATLINERS KILLER","A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,2.99,100,29.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
325,"FLOATS GARDEN","A Action-Packed Epistle of a Robot And a Car who must Chase a Boat in Ancient Japan",2006,1,NULL,6,2.99,145,29.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
376,"GRAPES FURY","A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia",2006,1,NULL,4,0.99,155,20.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
378,"GREATEST NORTH","A Astounding Character Study of a Secret Agent And a Robot who must Build a A Shark in Berlin",2006,1,NULL,5,2.99,93,24.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
389,"GUNFIGHTER MUSSOLINI","A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan",2006,1,NULL,3,2.99,127,9.99,PG-13,"Trailers,Commentaries","2006-02-15 05:03:42"
394,"HAMLET WISDOM","A Touching Reflection of a Man And a Man who must Sink a Robot in The Outback",2006,1,NULL,7,2.99,146,21.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
422,"HOLLOW JEOPARDY","A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery",2006,1,NULL,7,4.99,136,25.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
424,"HOLOCAUST HIGHBALL","A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia",2006,1,NULL,6,0.99,149,12.99,R,"Deleted Scenes","2006-02-15 05:03:42"
444,"HUSTLER PARTY","A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert",2006,1,NULL,3,4.99,83,22.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
452,"ILLUSION AMELIE","A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft",2006,1,NULL,4,0.99,122,15.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
462,"INSIDER ARIZONA","A Astounding Saga of a Mad Scientist And a Hunter who must Pursue a Robot in A Baloon Factory",2006,1,NULL,5,2.99,78,17.99,NC-17,Commentaries,"2006-02-15 05:03:42"
493,"KANE EXORCIST","A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin",2006,1,NULL,5,0.99,92,18.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
496,"KICK SAVANNAH","A Emotional Drama of a Monkey And a Robot who must Defeat a Monkey in New Orleans",2006,1,NULL,3,0.99,179,10.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
500,"KISS GLORY","A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies",2006,1,NULL,5,4.99,163,11.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
503,"KRAMER CHOCOLATE","A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback",2006,1,NULL,3,2.99,171,24.99,R,Trailers,"2006-02-15 05:03:42"
528,"LOLITA WORLD","A Thrilling Drama of a Girl And a Robot who must Redeem a Waitress in An Abandoned Mine Shaft",2006,1,NULL,4,2.99,155,25.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
532,"LOSER HUSTLER","A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria",2006,1,NULL,5,4.99,80,28.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
533,"LOST BIRD","A Emotional Character Study of a Robot And a A Shark who must Defeat a Technical Writer in A Manhattan Penthouse",2006,1,NULL,4,2.99,98,21.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
537,"LOVER TRUMAN","A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat",2006,1,NULL,3,2.99,75,29.99,G,Trailers,"2006-02-15 05:03:42"
541,"LUKE MUMMY","A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India",2006,1,NULL,5,2.99,74,21.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
561,"MASK PEACH","A Boring Character Study of a Student And a Robot who must Meet a Woman in California",2006,1,NULL,6,2.99,123,26.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
580,"MINE TITANS","A Amazing Yarn of a Robot And a Womanizer who must Discover a Forensic Psychologist in Berlin",2006,1,NULL,3,4.99,166,12.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
590,"MONEY HAROLD","A Touching Tale of a Explorer And a Boat who must Defeat a Robot in Australia",2006,1,NULL,3,2.99,135,17.99,PG,"Trailers,Commentaries","2006-02-15 05:03:42"
624,"NIGHTMARE CHILL","A Brilliant Display of a Robot And a Butler who must Fight a Waitress in An Abandoned Mine Shaft",2006,1,NULL,3,4.99,149,25.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
627,"NORTH TEQUILA","A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans",2006,1,NULL,4,4.99,67,9.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
663,"PATIENT SISTER","A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia",2006,1,NULL,7,0.99,99,29.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42"
664,"PATRIOT ROMAN","A Taut Saga of a Robot And a Database Administrator who must Challenge a Astronaut in California",2006,1,NULL,6,2.99,65,12.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
684,"PIZZA JUMANJI","A Epic Saga of a Cat And a Squirrel who must Outgun a Robot in A U-Boat",2006,1,NULL,4,2.99,173,11.99,NC-17,Commentaries,"2006-02-15 05:03:42"
695,"PRESIDENT BANG","A Fateful Panorama of a Technical Writer And a Moose who must Battle a Robot in Soviet Georgia",2006,1,NULL,6,4.99,144,12.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
727,"RESURRECTION SILVERADO","A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention",2006,1,NULL,6,0.99,117,12.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
736,"ROBBERY BRIGHT","A Taut Reflection of a Robot And a Squirrel who must Fight a Boat in Ancient Japan",2006,1,NULL,4,0.99,134,21.99,R,Trailers,"2006-02-15 05:03:42"
737,"ROCK INSTINCT","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India",2006,1,NULL,4,0.99,102,28.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
738,"ROCKETEER MOTHER","A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank",2006,1,NULL,3,0.99,178,27.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
740,"ROLLERCOASTER BRINGING","A Beautiful Drama of a Robot And a Lumberjack who must Discover a Technical Writer in A Shark Tank",2006,1,NULL,5,2.99,153,13.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
752,"RUNNER MADIGAN","A Thoughtful Documentary of a Crocodile And a Robot who must Outrace a Womanizer in The Outback",2006,1,NULL,6,0.99,101,27.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
777,"SECRETARY ROUGE","A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory",2006,1,NULL,5,4.99,158,10.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
780,"SENSIBILITY REAR","A Emotional Tale of a Robot And a Sumo Wrestler who must Redeem a Pastry Chef in A Baloon Factory",2006,1,NULL,7,4.99,98,15.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
786,"SHEPHERD MIDSUMMER","A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon",2006,1,NULL,7,0.99,113,14.99,R,"Deleted Scenes","2006-02-15 05:03:42"
808,"SLING LUKE","A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park",2006,1,NULL,5,0.99,84,10.99,R,"Behind the Scenes","2006-02-15 05:03:42"
822,"SOUP WISDOM","A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention",2006,1,NULL,6,0.99,169,12.99,R,"Behind the Scenes","2006-02-15 05:03:42"
823,"SOUTH WAIT","A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park",2006,1,NULL,4,2.99,143,21.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
826,"SPEED SUIT","A Brilliant Display of a Frisbee And a Mad Scientist who must Succumb a Robot in Ancient China",2006,1,NULL,7,4.99,124,19.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
871,"SWEDEN SHINING","A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies",2006,1,NULL,6,4.99,176,19.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
878,"TEEN APOLLO","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank",2006,1,NULL,3,4.99,74,25.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
883,"TEQUILA PAST","A Action-Packed Panorama of a Mad Scientist And a Robot who must Challenge a Student in Nigeria",2006,1,NULL,6,4.99,53,17.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
904,"TRAIN BUNCH","A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India",2006,1,NULL,3,4.99,71,26.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
920,"UNBREAKABLE KARATE","A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia",2006,1,NULL,3,0.99,62,16.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
944,"VIRGIN DAISY","A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank",2006,1,NULL,6,4.99,179,29.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
977,"WINDOW SIDE","A Astounding Character Study of a Womanizer And a Hunter who must Escape a Robot in A Monastery",2006,1,NULL,3,2.99,85,25.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
980,"WIZARD COLDBLOODED","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",2006,1,NULL,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
981,"WOLVES DESIRE","A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse",2006,1,NULL,7,0.99,55,13.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
990,"WORLD LEATHERNECKS","A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park",2006,1,NULL,3,0.99,171,13.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
994,"WYOMING STORM","A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat",2006,1,NULL,6,4.99,100,29.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
995,"YENTL IDAHO","A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin",2006,1,NULL,5,4.99,86,11.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
